1,2021-12-28,"2000-01-01 16:00:00","2000-01-01 17:30:00",1,2,"2021-12-27 20:56:44.632095","2021-12-28 18:44:35.429990"
4,2021-12-02,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,2,"2021-12-28 18:46:51.272687","2021-12-28 18:46:51.272687"
5,2021-12-08,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,2,"2021-12-28 18:47:29.482633","2021-12-28 18:47:29.482633"
6,2021-12-09,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,2,"2021-12-28 18:48:13.033873","2021-12-28 18:48:13.033873"
7,2021-12-15,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,2,"2021-12-28 18:48:52.401730","2021-12-28 18:48:52.401730"
8,2021-12-16,"2000-01-01 16:30:00","2000-01-01 18:00:00",1,2,"2021-12-28 18:49:33.737230","2021-12-28 18:49:33.737230"
9,2021-12-22,"2000-01-01 16:30:00","2000-01-01 18:00:00",1,2,"2021-12-28 18:50:10.902237","2021-12-28 18:50:10.902237"
10,2021-12-29,"2000-01-01 16:00:00","2000-01-01 17:30:00",1,2,"2021-12-28 19:56:14.241166","2021-12-28 19:56:14.241166"
13,2022-01-11,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,4,"2022-01-16 15:16:54.253638","2022-01-16 15:16:54.253638"
14,2022-01-12,"2000-01-01 09:00:00","2000-01-01 10:30:00",1,3,"2022-01-16 15:19:13.445552","2022-01-16 15:19:13.445552"
15,2022-01-12,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-01-16 15:19:48.626207","2022-01-16 15:19:48.626207"
16,2022-01-12,"2000-01-01 16:30:00","2000-01-01 18:00:00",1,5,"2022-01-16 15:20:20.557687","2022-01-16 15:20:20.557687"
17,2022-01-14,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,4,"2022-01-16 15:21:07.294570","2022-01-16 15:21:07.294570"
18,2022-01-15,"2000-01-01 16:00:00","2000-01-01 17:30:00",1,3,"2022-01-16 15:21:41.944219","2022-01-16 15:21:41.944219"
19,2022-01-14,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,7,"2022-01-17 14:07:17.146824","2022-01-17 14:07:17.146824"
20,2022-01-18,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-01-23 10:33:33.557206","2022-01-23 10:33:33.557206"
21,2022-01-18,"2000-01-01 16:30:00","2000-01-01 18:00:00",1,11,"2022-01-23 10:34:20.616524","2022-01-23 10:34:20.616524"
22,2022-01-18,"2000-01-01 19:00:00","2000-01-01 20:00:00",1,12,"2022-01-23 10:37:09.718367","2022-01-23 10:37:09.718367"
23,2022-01-20,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-01-23 10:38:20.364625","2022-01-23 10:38:20.364625"
24,2022-01-20,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,1,"2022-01-23 10:39:06.816301","2022-01-23 10:39:06.816301"
25,2022-01-22,"2000-01-01 16:00:00","2000-01-01 17:30:00",1,3,"2022-01-23 10:39:53.399251","2022-01-23 10:39:53.399251"
26,2022-01-25,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-01-26 15:52:29.207582","2022-01-26 15:52:29.207582"
27,2022-01-26,"2000-01-01 08:30:00","2000-01-01 10:00:00",1,3,"2022-01-26 15:53:15.987397","2022-01-26 15:53:15.987397"
28,2022-01-26,"2000-01-01 10:00:00","2000-01-01 11:45:00",1,13,"2022-01-26 15:55:51.308416","2022-01-26 15:55:51.308416"
29,2022-01-26,"2000-01-01 19:00:00","2000-01-01 20:00:00",1,12,"2022-01-27 00:12:19.299815","2022-01-27 00:12:19.299815"
30,2022-01-29,"2000-01-01 07:00:00","2000-01-01 08:00:00",1,14,"2022-01-30 00:27:40.352565","2022-01-30 00:27:40.352565"
31,2022-01-27,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-01-30 00:30:46.481942","2022-01-30 00:31:39.308518"
32,2022-01-27,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,1,"2022-01-30 00:31:19.834162","2022-01-30 00:31:19.834162"
33,2022-01-29,"2000-01-01 16:30:00","2000-01-01 18:00:00",1,3,"2022-01-30 00:32:34.122873","2022-01-30 00:32:34.122873"
34,2022-02-01,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-02-02 01:49:36.408320","2022-02-02 01:49:36.408320"
35,2022-02-01,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,4,"2022-02-02 01:50:26.878518","2022-02-02 01:50:26.878518"
36,2022-02-01,"2000-01-01 16:30:00","2000-01-01 18:00:00",1,15,"2022-02-02 01:51:14.438296","2022-02-02 01:51:14.438296"
37,2022-02-01,"2000-01-01 20:00:00","2000-01-01 21:00:00",1,12,"2022-02-02 01:51:56.943707","2022-02-02 01:51:56.943707"
38,2022-02-01,"2000-01-01 19:00:00","2000-01-01 20:00:00",1,16,"2022-02-02 01:55:17.154366","2022-02-02 01:55:17.154366"
39,2022-02-02,"2000-01-01 08:30:00","2000-01-01 10:00:00",1,3,"2022-02-02 21:15:59.722161","2022-02-02 21:15:59.722161"
40,2022-02-04,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,17,"2022-02-04 22:17:07.849262","2022-02-04 22:17:07.849262"
41,2022-02-04,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,7,"2022-02-04 22:17:28.569713","2022-02-04 22:17:28.569713"
42,2022-02-04,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,4,"2022-02-04 22:17:38.441289","2022-02-04 22:17:38.441289"
43,2022-02-03,"2000-01-01 16:00:00","2000-01-01 17:00:00",1,18,"2022-02-04 23:14:58.765068","2022-02-04 23:14:58.765068"
44,2022-02-03,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-02-04 23:15:53.883308","2022-02-04 23:15:53.883308"
45,2022-02-05,"2000-01-01 16:00:00","2000-01-01 17:30:00",1,3,"2022-02-06 02:07:04.875448","2022-02-06 02:07:04.875448"
46,2022-02-08,"2000-01-01 14:30:00","2000-01-01 16:00:00",2,2,"2022-02-09 00:46:32.223197","2022-02-09 00:46:32.223197"
47,2022-02-08,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,13,"2022-02-09 00:46:52.712208","2022-02-09 00:46:52.712208"
48,2022-02-08,"2000-01-01 19:00:00","2000-01-01 20:30:00",1,14,"2022-02-09 00:48:03.096895","2022-02-09 00:48:03.096895"
49,2022-02-09,"2000-01-01 08:30:00","2000-01-01 10:00:00",1,3,"2022-02-09 14:14:23.021605","2022-02-09 14:14:23.021605"
50,2022-02-12,"2000-01-01 17:30:00","2000-01-01 19:00:00",1,19,"2022-02-13 01:29:19.884369","2022-02-13 01:29:19.884369"
51,2022-02-12,"2000-01-01 16:00:00","2000-01-01 17:30:00",1,3,"2022-02-13 01:29:56.354871","2022-02-13 01:29:56.354871"
52,2022-02-15,"2000-01-01 16:30:00","2000-01-01 18:00:00",1,20,"2022-02-16 00:10:47.838508","2022-02-16 00:10:47.838508"
53,2022-02-15,"2000-01-01 16:30:00","2000-01-01 18:00:00",2,4,"2022-02-16 00:11:00.175965","2022-02-16 00:11:00.175965"
54,2022-02-15,"2000-01-01 19:00:00","2000-01-01 20:00:00",1,12,"2022-02-16 00:11:31.576193","2022-02-16 00:11:31.576193"
55,2022-02-16,"2000-01-01 08:30:00","2000-01-01 10:00:00",1,3,"2022-02-18 18:05:28.979892","2022-02-18 18:05:28.979892"
56,2022-02-16,"2000-01-01 17:30:00","2000-01-01 19:00:00",2,20,"2022-02-18 18:05:48.412223","2022-02-18 18:05:48.412223"
57,2022-02-17,"2000-01-01 10:00:00","2000-01-01 11:00:00",1,9,"2022-02-18 18:06:24.141605","2022-02-18 18:06:24.141605"
58,2022-02-22,"2000-01-01 16:30:00","2000-01-01 17:30:00",1,21,"2022-02-23 20:07:57.260320","2022-02-23 20:07:57.260320"
59,2022-02-22,"2000-01-01 20:00:00","2000-01-01 22:00:00",1,14,"2022-02-23 20:09:04.832724","2022-02-23 20:09:04.832724"
60,2022-02-23,"2000-01-01 09:00:00","2000-01-01 10:30:00",1,3,"2022-02-23 20:09:39.811340","2022-02-23 20:09:39.811340"
61,2022-02-04,"2000-01-01 08:30:00","2000-01-01 10:00:00",1,3,"2022-02-23 20:14:53.286801","2022-02-23 20:14:53.286801"
